country,occ_type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,occ_avg
Austria,league,0.5393,0.492,0.4938,0.4794,0.5308,0.442,0.4736,0.3854,0.4399,0.4333,0.471
Belgium,league,0.6655,0.6628,0.6253,0.6586,0.6751,0.7224,0.6728,0.6944,0.6267,0.6386,0.6642
Bosnia and Herzegovina,league,0.1986,0.1839,0.1667,0.1395,0.1535,0.1651,0.1738,0.1634,0.1433,0.2183,0.1706
Bulgaria,league,0.1509,0.2045,0.2233,0.1804,0.2382,0.2294,0.1837,0.1879,0.1835,0.1637,0.1946
Croatia,league,0.216,0.2483,0.2199,0.2798,0.2577,0.1937,0.2184,0.2138,0.2639,0.2689,0.238
Czech Republic,league,0.4772,0.4801,0.4723,0.4973,0.4912,0.5082,0.5224,0.5506,0.5324,0.4613,0.4993
Denmark,league,0.4433,0.4814,0.4278,0.4963,0.4507,0.4617,0.377,0.3925,0.4034,0.4135,0.4348
England,league,0.8689,0.8884,0.9093,0.9082,0.8947,0.9095,0.9279,0.9752,0.9785,0.968,0.9229
France,league,0.6126,0.6547,0.6434,0.6695,0.664,0.6687,0.6553,0.6791,0.701,0.6827,0.6631
Germany,league,0.8898,0.9242,0.923,0.9189,0.931,0.927,0.9366,0.9197,0.8945,0.9216,0.9186
Greece,league,0.3049,0.313,0.3002,0.2888,0.2739,0.2545,0.2439,0.2952,0.292,0.3283,0.2895
Hungary,league,0.3219,0.3729,0.2738,0.2936,0.2288,0.2649,0.2876,0.3097,0.3518,0.3232,0.3028
Iceland,league,0.4838,0.4458,0.432,0.4287,0.3822,0.4716,0.4212,0.3692,0.3621,0.4096,0.4206
Ireland,league,0.2926,0.2902,0.3008,0.3106,0.2863,0.3175,0.2525,0.3484,0.3602,0.3687,0.3128
Italy,league,0.5879,0.5911,0.5818,0.5797,0.56,0.6155,0.5801,0.6469,0.675,0.7076,0.6126
Netherlands,league,0.8621,0.8777,0.8561,0.8585,0.8615,0.8718,0.8668,0.8517,0.8754,0.8359,0.8618
Northern Ireland,league,0.124,0.1678,0.2078,0.2258,0.2353,0.2232,0.2481,0.299,0.3068,0.3386,0.2376
