country,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Feb-10,Mar-10,Apr-10,May-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Austria,366,377,367,323,328,341,349,349,354,422,391,388,388,416,393,446,446,473,493,493,473,524,520,523,523,582,509,479,536,536,528,574,572,569,569,569,524,443,443,479,479,472,442,458,459,459,459,469,472,475,475,524,517,517,598,528,492,492,492,470,453,472,472,469,595,595,639,596,648,648,648,678,641,673,673,643,614,624,622,810,863,863,863,881,916,891,891,946,1016,1016,1038,1100,1130,1091,1091,1091,1095,1067,1067,1077,875,875,839,792,773,773,773,783,793,762,762,750,723,723,632,745,815,815,815,815,826,841,841,845,1899,1502,1499,1502,1509,1509
Belgium,600,636,635,620,627,600,637,637,530,589,571,548,548,568,589,534,534,518,533,533,479,474,504,491,491,506,518,541,589,589,526,499,494,526,526,526,512,654,654,691,691,675,729,670,647,647,647,663,642,604,604,564,564,564,626,723,881,868,868,864,892,953,953,1035,1079,1079,1159,1175,1098,1098,1098,1117,1084,1039,1039,1074,1401,1407,1444,1388,1417,1417,1417,1430,1471,1457,1457,1509,1244,1244,1269,1387,1440,1494,1494,1494,1506,1352,1364,1384,1401,1401,1369,1382,1368,1368,1368,1371,1379,1281,1281,1292,1194,1194,1265,1333,1325,1325,1325,1325,1337,1346,1346,1298,2124,1723,1729,1733,1727,1727
Bulgaria,881,919,922,953,948,949,930,930,976,969,951,782,782,772,756,840,840,838,839,839,860,854,827,801,801,764,740,711,672,672,556,604,597,555,555,555,558,591,592,598,598,586,558,447,410,410,410,408,406,354,354,373,373,373,388,565,627,585,585,590,615,583,583,628,596,596,549,487,486,486,486,486,518,460,460,425,425,429,570,532,506,506,506,506,501,505,505,537,489,489,503,414,497,494,494,494,500,508,508,518,446,446,470,395,492,492,492,492,489,614,614,615,643,643,739,750,719,719,719,719,715,583,583,614,1743,1416,1430,1428,1425,1425
Bosnia-and-Herzegovina,585,554,553,528,522,487,448,448,435,446,492,517,517,535,529,737,737,763,680,680,682,721,643,642,645,642,604,604,546,546,544,542,542,582,582,583,534,594,594,642,642,656,839,864,838,869,869,920,850,792,792,756,729,729,717,740,746,788,788,814,825,896,896,1008,995,995,934,925,886,899,899,919,863,795,795,873,917,925,851,837,808,817,817,832,841,783,783,802,819,819,811,787,923,898,905,905,917,913,913,886,813,813,863,807,825,825,825,827,826,815,815,835,815,815,761,744,753,753,753,693,700,688,688,693,1826,1452,1468,1476,1472,1472
Switzerland,657,647,650,621,617,644,645,645,644,641,799,824,824,857,831,883,883,931,930,930,898,961,924,924,924,887,854,866,940,940,882,842,852,840,841,841,839,819,819,777,777,757,886,920,898,898,898,950,891,891,891,868,828,828,847,983,966,1004,1004,993,1019,967,967,1010,987,987,992,1138,1113,1113,1113,1159,1123,1161,1161,1149,1216,1218,1175,1063,1091,1091,1091,1117,1126,1135,1135,1146,997,997,1011,1044,1073,1050,1050,1050,1070,974,974,948,957,957,1020,1071,1129,1129,1129,1140,1138,1212,1212,1263,1329,1329,1210,1134,1190,1190,1190,1190,1197,1179,1179,1199,2087,1597,1598,1598,1599,1599
Czech-Republic,1290,1244,1253,1234,1244,1246,1146,1146,1134,1111,1062,1007,1007,1020,998,968,968,943,850,850,870,928,843,828,828,809,827,793,769,769,717,739,756,751,751,751,739,722,722,670,670,635,656,600,749,749,749,775,762,798,798,771,854,854,869,837,806,781,781,797,809,829,829,853,797,797,738,783,766,766,766,760,748,731,731,724,646,650,812,870,987,987,987,990,1045,923,923,1036,933,933,940,983,974,860,860,860,861,810,810,815,768,768,762,663,671,671,671,669,684,679,679,690,714,714,630,699,677,677,677,677,690,647,647,641,1809,1430,1418,1420,1435,1435
Germany,1305,1281,1294,1261,1264,1274,1364,1343,1329,1336,1413,1381,1389,1403,1366,1362,1362,1378,1207,1195,1186,1161,1170,1173,1173,1157,1107,1082,1464,1464,1490,1481,1489,1485,1485,1485,1486,1386,1413,1417,1305,1330,1290,1352,1345,1345,1345,1369,1332,1345,1345,1288,1502,1474,1437,1459,1421,1437,1437,1437,1473,1428,1428,1416,1273,1257,1261,1311,1318,1318,1318,1314,1336,1340,1340,1300,1724,1736,1765,1669,1725,1725,1725,1729,1770,1687,1687,1775,1411,1226,1248,1401,1388,1347,1347,1347,1355,1309,1309,1310,1319,1319,1347,1465,1433,1433,1433,1433,1443,1464,1464,1511,1609,1549,1606,1631,1602,1602,1602,1602,1609,1533,1544,1558,2172,1561,1568,1555,1558,1558
Denmark,797,795,787,762,761,750,722,722,696,760,757,716,716,724,701,790,790,836,909,909,892,830,835,820,827,778,767,767,785,785,781,799,812,790,790,802,788,808,808,857,857,841,893,1030,1035,1035,1032,1090,1025,1069,1069,1019,1017,1017,1006,944,851,821,819,825,814,900,900,890,788,788,825,824,831,831,831,907,858,819,819,809,807,818,833,763,804,804,804,846,863,808,808,808,876,876,901,835,743,685,685,692,706,686,686,697,630,630,637,606,643,643,643,657,662,657,657,660,683,683,848,1001,1099,1099,1099,1099,1108,1054,1054,1051,2014,1580,1581,1584,1589,1589
England,1113,1133,1142,1098,1098,1123,1003,1003,991,982,1058,1115,1115,1136,1083,1173,1173,1225,1135,1135,1127,1101,1063,1076,1076,1120,1068,1068,1125,1125,1191,1205,1250,1195,1195,1195,1212,1163,1163,1146,1146,1177,1089,1101,1173,1173,1173,1179,1121,1132,1132,1145,1294,1294,1274,1196,1167,1151,1151,1160,1174,1135,1135,1095,994,994,947,1080,1041,1041,1041,1032,1045,1043,1043,1090,911,915,935,919,1032,1032,1032,1028,1031,1030,1030,1051,1157,1157,1143,1161,1179,1106,1106,1106,1112,1069,1069,1069,1107,1107,1130,1090,1114,1114,1114,1113,1114,1103,1103,1119,1051,1051,1056,1116,1047,1047,1047,1047,1047,1040,1040,1051,2099,1615,1612,1619,1631,1631
Spain,1349,1352,1355,1319,1323,1303,1557,1557,1565,1643,1657,1663,1663,1693,1666,1729,1729,1761,1590,1590,1588,1629,1622,1627,1627,1602,1565,1565,1883,1883,1824,1881,1920,1887,1887,1887,1880,1857,1857,1871,1588,1563,1605,1624,1564,1564,1564,1566,1561,1442,1442,1456,1691,1605,1617,1611,1564,1606,1606,1590,1610,1538,1538,1614,1532,1484,1514,1513,1507,1507,1507,1506,1510,1460,1460,1485,1229,1241,1228,1119,1142,1142,1142,1144,1130,1132,1132,1147,1110,1110,1122,1223,1287,1370,1370,1370,1374,1277,1277,1267,1165,1165,1141,1168,1166,1166,1166,1168,1162,1204,1204,1198,1114,1114,1184,1218,1231,1231,1231,1231,1228,1162,1162,1126,2104,1580,1597,1594,1591,1591
France,1243,1223,1234,1205,1205,1143,1053,1012,1019,1035,1035,1007,1007,1026,1004,1074,1074,1067,1082,1059,1040,1049,1122,1117,1117,1077,1044,1044,890,890,835,888,852,867,867,867,913,883,883,920,920,918,956,953,915,915,915,930,938,938,938,964,980,980,965,1011,938,949,949,929,921,914,914,922,838,838,812,870,893,893,893,917,929,935,935,913,1202,1212,1202,1191,1160,1160,1160,1168,1180,1127,1127,1164,882,882,893,899,881,868,868,868,871,907,907,925,1189,1189,1188,1271,1305,1305,1305,1313,1318,1294,1294,1332,1199,1157,1208,1226,1183,1183,1183,1183,1185,1166,1166,1198,2164,1726,1729,1732,1726,1726
Greece,1114,1142,1160,1187,1196,1133,911,896,921,945,907,872,872,864,863,927,927,922,1001,1001,971,921,1028,1016,1030,1032,968,964,975,975,973,1026,1043,1016,1016,1016,1038,985,985,959,959,937,1000,1044,964,964,964,979,953,961,961,953,1003,1003,1001,1029,1004,1033,1033,1020,1033,986,986,1006,1038,1038,1016,983,1055,1055,1055,1084,1038,1082,1082,1064,1091,1092,1052,946,856,856,856,871,872,900,900,899,661,661,657,676,718,706,706,706,718,695,695,678,579,579,622,656,674,674,674,682,679,730,730,726,716,716,665,682,680,680,680,680,685,657,657,650,1760,1436,1433,1432,1428,1428
Croatia,1129,1096,1101,1041,1044,1017,1282,1282,1266,1223,1158,1142,1142,1175,1169,1151,1151,1200,1031,1031,1101,1087,1050,1042,1053,1051,1052,1041,968,968,998,1086,1098,1075,1075,1075,1071,991,991,1033,1033,1009,1057,1015,1091,1091,1091,1101,1049,1114,1114,1053,1050,1050,1020,1023,1078,1064,1064,1059,1080,1191,1191,1222,1098,1098,1051,901,971,971,971,966,955,871,871,903,955,964,928,1002,946,946,946,945,963,977,977,992,1023,1023,1037,965,924,958,958,958,965,856,856,842,1022,1022,1059,1027,1103,1103,1103,1039,1042,1016,1016,1033,1007,1007,977,1013,1018,1018,1048,1048,1053,975,975,945,2036,1643,1634,1635,1634,1634
Hungary,594,598,594,546,546,580,591,591,561,507,551,603,606,629,596,662,662,687,681,681,669,645,603,613,615,589,567,565,534,534,567,598,615,632,632,632,654,559,559,603,603,613,754,701,665,665,665,678,658,692,692,735,716,746,663,593,753,750,750,728,752,749,749,759,749,749,744,636,668,668,668,673,652,623,623,624,642,656,548,561,632,632,632,634,659,665,665,685,763,763,740,741,759,945,945,945,951,925,925,886,915,915,913,891,826,826,826,830,834,801,801,802,616,616,629,642,630,630,630,630,637,604,604,612,1771,1409,1409,1400,1412,1412
