full_name,first_name,last_name,country,id,type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,type_avg,diff_avg,player_avg
David Alaba,David,Alaba,Austria,505,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.06,0.06,0.13,0.08,0.15,0.06,0.11,0.05,0.07,0.05,0.08,0.07,0.12
David Alaba,David,Alaba,Austria,505,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.67,0.5,0.25,0,0.15,0,0.2,0.15,0.07,0.12
Marko Arnautovic,Marko,Arnautovic,Austria,18830,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.36,0,0.15,0.3,0.19,0.13,0.06,0.3,0.19,0.31,0.47,0.57,0.22,0.03,0.24
Marko Arnautovic,Marko,Arnautovic,Austria,18830,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.5,0.5,0,0,0,0.22,0.5,0.47,0.25,0.75,0.25,0.03,0.24
Martin Harnik,Martin,Harnik,Austria,25327,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15,0.33,0.16,0.06,0.43,0.39,0.45,0.26,0.29,0.3,0.14,0.64,0.34,0.32,0.12,0.29,-0.11,0.24
Martin Harnik,Martin,Harnik,Austria,25327,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0,-1,0,0.67,0.27,0,0.27,0,0.25,0,0.17,-1,-1,0.18,-0.11,0.24
Andreas Ivanschitz,Andreas,Ivanschitz,Austria,105418,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16,0.15,0.12,0.17,0.21,0.14,0.24,0.24,0.13,0.1,0.09,0.38,0,0,-1,0.15,-0.02,0.14
Andreas Ivanschitz,Andreas,Ivanschitz,Austria,105418,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.33,-1,0.18,0,0.14,0,0.25,0,0.43,0,0.22,-1,0,-1,-1,-1,-1,0.13,-0.02,0.14
Zlatko Junuzovic,Zlatko,Junuzovic,Austria,1091,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.15,0.28,0.15,0.1,0.07,0.17,0.12,0.16,0.08,0.16,0.11,0.13,-0.07,0.1
Zlatko Junuzovic,Zlatko,Junuzovic,Austria,1091,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.2,0,0.18,0,0.2,0,0,-1,-1,0.06,-0.07,0.1
