full_name,first_name,last_name,country,dob,id,club_avg,nt_avg,player_avg,years_active,score,category,,,
Alessandro Schopf,Alessandro,Schopf,Austria,07-02-94,417,0.17,0.09,0.13,8,-0.08,Neutral,,,
David Alaba,David,Alaba,Austria,24-06-92,505,0.08,0.15,0.12,12,0.07,Neutral,,,
Zlatko Junuzovic,Zlatko,Junuzovic,Austria,26-09-87,1091,0.13,0.06,0.1,12,-0.07,Neutral,,,
Marcel Sabitzer,Marcel,Sabitzer,Austria,17-03-94,1159,0.27,0.14,0.21,10,-0.13,Underscorer,,,
Marko Arnautovic,Marko,Arnautovic,Austria,19-04-89,18830,0.22,0.25,0.24,14,0.03,Neutral,,,
Louis Schaub,Louis,Schaub,Austria,29-12-94,24809,0.2,0.29,0.25,9,0.09,Neutral,,,
Martin Harnik,Martin,Harnik,Austria,10-06-87,25327,0.29,0.18,0.24,15,-0.11,Underscorer,,,
Andreas Ivanschitz,Andreas,Ivanschitz,Austria,15-10-83,105418,0.15,0.13,0.14,14,-0.02,Neutral,,,
Roland Linz,Roland,Linz,Austria,09-08-81,116545,0.51,0.14,0.33,8,-0.37,Extreme Underscorer,,,
Roman Wallner,Roman,Wallner,Austria,04-02-82,120656,0.28,0.13,0.21,11,-0.15,Underscorer,,,
Axel Witsel,Axel,Witsel,Belgium,12-01-89,20,0.14,0.11,0.13,13,-0.03,Neutral,,,
Nacer Chadli,Nacer,Chadli,Belgium,02-08-89,106,0.25,0.12,0.19,13,-0.13,Underscorer,,,
Jan Vertonghen,Jan,Vertonghen,Belgium,24-04-87,170,0.08,0.09,0.09,14,0.01,Neutral,,,
Radja Nainggolan,Radja,Nainggolan,Belgium,04-05-88,205,0.1,0.14,0.12,14,0.04,Neutral,,,
Thomas Meunier,Thomas,Meunier,Belgium,12-09-91,264,0.19,0.07,0.13,10,-0.12,Underscorer,,,
Kevin De Bruyne,Kevin,De Bruyne,Belgium,28-06-91,629,0.2,0.24,0.22,12,0.04,Neutral,,,
Romelu Lukaku,Romelu,Lukaku,Belgium,13-05-93,907,0.42,0.62,0.52,12,0.2,National Pride,,,
Eden Hazard,Eden,Hazard,Belgium,07-01-91,2296,0.25,0.3,0.28,13,0.05,Neutral,,,
Yannick Ferreira-Carrasco,Yannick,Ferreira-Carrasco,Belgium,04-09-93,2923,0.24,0.07,0.16,8,-0.17,Underscorer,,,
Christian Benteke,Christian,Benteke,Belgium,03-12-90,2928,0.3,0.48,0.39,12,0.18,Top Scorer,,,
Marouane Fellaini,Marouane,Fellaini,Belgium,22-11-87,12753,0.18,0.35,0.27,14,0.17,Top Scorer,,,
Wesley Sonck,Wesley,Sonck,Belgium,09-08-78,114217,0.22,0.43,0.33,8,0.21,National Pride,,,
Daniel Van Buyten,Daniel,Van Buyten,Belgium,07-02-78,114958,0.09,0.12,0.11,13,0.03,Neutral,,,
Ermin Bicakcic,Ermin,Bicakcic,Bosnia-and-Herzegovina,24-01-90,705,0.04,0.06,0.05,11,0.02,Neutral,,,
Edin Džeko,Edin,Džeko,Bosnia-and-Herzegovina,17-03-86,790,0.45,0.52,0.49,15,0.07,Neutral,,,
Miralem Pjanic,Miralem,Pjanic,Bosnia-and-Herzegovina,02-04-90,872,0.12,0.12,0.12,14,0,Neutral,,,
Amer Gojak,Amer,Gojak,Bosnia-and-Herzegovina,13-02-97,1320,0.06,0.11,0.09,7,0.05,Neutral,,,
Izet Hajrovic,Izet,Hajrovic,Bosnia-and-Herzegovina,04-08-91,1327,0.13,0.29,0.21,11,0.16,Top Scorer,,,
Senad Lulic,Senad,Lulic,Bosnia-and-Herzegovina,18-01-86,1855,0.11,0.16,0.14,12,0.05,Neutral,,,
Armin Hodzic,Armin,Hodzic,Bosnia-and-Herzegovina,17-11-94,2351,0.25,0.19,0.22,8,-0.06,Neutral,,,
Vedad Ibisevic,Vedad,Ibisevic,Bosnia-and-Herzegovina,06-08-84,25359,0.37,0.2,0.29,15,-0.17,Underscorer,,,
Edin Visca,Edin,Visca,Bosnia-and-Herzegovina,17-02-90,49860,0.25,0.11,0.18,10,-0.14,Underscorer,,,
Haris Medunjanin,Haris,Medunjanin,Bosnia-and-Herzegovina,08-03-85,50744,0.16,0.1,0.13,15,-0.06,Neutral,,,
