Position,Name,Points,Variance
2,Denmark,7.6,-0.341
3,Norway,7.554,0.03
4,Iceland,7.494,0.605
5,Netherlands,7.488,-0.028
6,Switzerland,7.48,0.007
7,Sweden,7.343,-0.035
10,Austria,7.246,0.094
15,England,7.054,0.137
15,Northern Ireland,7.054,0.137
15,Scotland,7.054,0.137
15,Wales,7.054,0.137
16,Ireland,7.021,-0.377
17,Germany,6.985,0.469
18,Belgium,6.923,0
20,Czech Republic,6.852,0.381
24,France,6.592,-0.282
30,Spain,6.354,-0.793
36,Italy,6.223,-0.512
38,Slovakia,6.198,0.933
40,Poland,6.182,0.445
44,Slovenia,6.118,0.306
48,Romania,6.07,0.851
62,Hungary,5.758,0.683
66,Portugal,5.693,0.129
68,Russia,5.648,0.385
70,Serbia,5.603,0.853
75,Croatia,5.432,-0.389
78,Bosnia and Herzegovina,5.386,0.487
79,Turkey,5.373,0.218
82,Greece,5.287,-1.04
97,Bulgaria,5.011,1.167
133,Ukraine,4.332,-0.741
