full_name,first_name,last_name,country,id,club1991,nt1991,club1992,nt1992,club1993,nt1993,club1994,nt1994,club1995,nt1995,club1996,nt1996,club1997,nt1997,club1998,nt1998,club1999,nt1999,club2000,nt2000,club2001,nt2001,club2002,nt2002,club2003,nt2003,club2004,nt2004,club2005,nt2005,club2006,nt2006,club2007,nt2007,club2008,nt2008,club2009,nt2009,club2010,nt2010,club2011,nt2011,club2012,nt2012,club2013,nt2013,club2014,nt2014,club2015,nt2015,club2016,nt2016,club2017,nt2017,club2018,nt2018,club2019,nt2019,club2020,nt2020
David Alaba,David,Alaba,Austria,505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.03,0,0.06,0,0.06,0,0.13,0,0.08,0.67,0.15,0.5,0.06,0.25,0.11,0,0.05,0.15,0.07,0,0.05,0.2
Marko Arnautovic,Marko,Arnautovic,Austria,18830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0.36,0,0,0,0.15,0.5,0.3,0.5,0.19,0,0.13,0,0.06,0,0.3,0.22,0.19,0.5,0.31,0.47,0.47,0.25,0.57,0.75
Martin Harnik,Martin,Harnik,Austria,25327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15,-1,0.33,0.33,0.16,0,0.06,-1,0.43,0,0.39,0.67,0.45,0.27,0.26,0,0.29,0.27,0.3,0,0.14,0.25,0.64,0,0.34,0.17,0.32,-1,0.12,-1
Andreas Ivanschitz,Andreas,Ivanschitz,Austria,105418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.33,-1,-1,0.16,0.18,0.15,0,0.12,0.14,0.17,0,0.21,0.25,0.14,0,0.24,0.43,0.24,0,0.13,0.22,0.1,-1,0.09,0,0.38,-1,0,-1,0,-1,-1,-1
Zlatko Junuzovi?,Zlatko,Junuzovi?,Austria,1091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,-1,0.15,0,0.28,0,0.15,0.2,0.1,0,0.07,0.18,0.17,0,0.12,0.2,0.16,0,0.08,0,0.16,-1,0.11,-1
Roland Linz,Roland,Linz,Austria,116545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.33,-1,0,2.33,0,0.26,-1,0.29,0,0.56,-1,0.39,0.5,0.21,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marcel Sabitzer,Marcel,Sabitzer,Austria,1159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.37,-1,0.32,0,0.15,0,0.23,0.33,0.53,0,0.24,0.08,0.27,0.5,0.15,0.12,0.11,0,0.36,0.22
Louis Schaub,Louis,Schaub,Austria,24809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,-1,0.12,-1,0.16,-1,0.24,-1,0.26,0,0.27,1,0.24,0.44,0.14,0,0.09,0
Alessandro Schopf,Alessandro,Schopf,Austria,417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.38,-1,0.29,-1,0.15,-1,0.24,0.29,0.19,0,0,0.18,0.1,0,0.04,0
Roman Wallner,Roman,Wallner,Austria,120656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,-1,-1,-1,0.14,-1,-1,-1,0,0,-1,-1,-1,0.23,0,0.56,0.4,0.5,-1,0.31,0,0.34,-1,0.3,-1,0.19,-1,0.13,-1,-1,-1,0.52,-1,0,-1,-1,-1
